,,,,,,,,,,,,,,,,,,,,
,RINGING SURVEY 19 September to 01 November 1993 (table 2),,,,,,,,,,,,,,,CODES,,,,
,Ringing,Tree #,,,Code,Ring,COLOUR RINGS,,Mass,Wing,Age at,Value at,Hatching,Laying ,,1,Chick ringed.,,,
,Date,DRN,Southings,Eastings,Oct,#,L top down,R top down ,g,length mm,Ringing (days),Ringing,Date,Date,,2,Chick too small to ring.,,,
,1993-09-21,1, 28 38 43.8,24 47 14.5,1,G19791,M,"B, Y, Y",5900,475,89,34233,1993-06-24,1993-04-29,,3,Chick too big to ring.,,,
,1993-09-21,2,28 38 48.2,24 47 05.1,1,G19792,M,"B, Y, R",5000,425,80,34233,1993-07-03,1993-05-08,,4,Chick fledged.,,,
,1993-09-19,3,28 38 55.6,24 47 15.4,1,G19781,M,"B, W, G",3900,260,57,34231,1993-07-24,1993-05-29,,5,Nest new lining. (for this breeding season),,,
,1993-09-19,4,28 40 27.0,24 50 29.2,1,G19780,M,"B, B, R",4950,310,64,34231,1993-07-17,1993-05-22,,6,Nest egg shell fragments. (for this breeding season),,,
,1993-09-19,5,28 38 54.4,24 47 31.2,1,G19785,M,"B, W, Y",4950,290,61,34231,1993-07-20,1993-05-25,,8,Nest with white wash.,,,
,1993-09-19,6,28 39 24.9,24 47 37.9,1,G19786,M,"B, W, R",3800,275,59,34231,1993-07-22,1993-05-27,,10,Nest inactive.,,,
,1993-09-19,8,28 39 12.4,24 47 15.3,1,G19783,M,"B, W, B",3550,210,49,34231,1993-08-01,1993-06-06,,11,Nest collapsed.,,,
,1993-09-19,12,28 39 27.1,24 47 41.1,15,,,,,,,,,,,13,Nest gone.,,,
,1993-09-21,13,28 39 18.6,24 47 25.8,1,G19793,M,"B, G, G",4050,245,55,34233,1993-07-28,1993-06-02,,14,Other bird species nesting.,,,
,1993-09-19,14,28 39 12.9,24 47 19.3,1,G19782,M,"B, W, W",4100,290,61,34231,1993-07-20,1993-05-25,,15,Egg. (for this breeding season),,,
